review,rating,tanggal,app_id,label,clean_review
iki kenapa lagi brimo knp pake segalam lokasi kya mw ke mana aja. boros btrei,1.0,2026-05-26 4:45:05,id.co.bri.brimo,0,iki kenapa lagi brimo knp pake segalam lokasi kya mw ke mana aja boros btrei
proses lumayan cepat,5.0,2026-06-01 13:55:42,id.co.bri.brimo,1,proses lumayan cepat
sangat sulit penyelesaian verifikasi pengambilan foto ktp,2.0,2026-06-06 11:58:29,id.co.bri.brimo,0,sangat sulit penyelesaian verifikasi pengambilan foto ktp
"memuaskan,mempermudah dalam transaksi",5.0,2026-06-11 0:01:33,id.co.bri.brimo,1,memuaskanmempermudah dalam transaksi
simpel dan memudahkan,5.0,2026-06-03 6:15:11,id.co.bri.brimo,1,simpel dan memudahkan
"gak jelas ini brimo, di suruh verifikasi email, email baru di kirim dua detik sudah kadaluarsa, ku ulangi lagi, gak sampek 3 detik sudah kadaluarsa lagi, tolong lah Tolong, knp saldo tiba2 bisa tidak muncul dan 0??",2.0,2026-05-29 3:38:16,id.co.bri.brimo,0,gak jelas ini brimo di suruh verifikasi email email baru di kirim dua detik sudah kadaluarsa ku ulangi lagi gak sampek  detik sudah kadaluarsa lagi tolong lah tolong knp saldo tiba bisa tidak muncul dan
sangat mudah,5.0,2026-06-11 22:32:30,id.co.bri.brimo,1,sangat mudah
Mempermudah transaksi melalui Smarthphone,5.0,2026-05-30 7:27:25,id.co.bri.brimo,1,mempermudah transaksi melalui smarthphone
jelek banget.. lola...,1.0,2026-06-14 12:14:39,id.co.bri.brimo,0,jelek banget lola
good...good...good,5.0,2026-06-03 13:51:58,id.co.bri.brimo,1,goodgoodgood
terimakasih banyak membantu,4.0,2026-06-10 11:31:24,id.co.bri.brimo,1,terimakasih banyak membantu
ok good,5.0,2026-05-22 12:59:17,id.co.bri.brimo,1,ok good
mantap jiwa,5.0,2026-06-05 4:53:15,id.co.bri.brimo,1,mantap jiwa
"selalu gagal di verifikasi wajah,, complain lewat email sudah sering & disuruh ke kantor terdekat juga sudah,, dan masih tetap tidak bisa login BRIMO.. hadeuuuhh pdhl sudah bawa buku tabungan Asli, KTP asli, kartu ATM asli.. benahi kendala tersebut!!!",1.0,2026-06-15 2:48:30,id.co.bri.brimo,0,selalu gagal di verifikasi wajah complain lewat email sudah sering  disuruh ke kantor terdekat juga sudah dan masih tetap tidak bisa login brimo hadeuuuhh pdhl sudah bawa buku tabungan asli ktp asli kartu atm asli benahi kendala tersebut
Alhamdulilah dengan aplikasi BRImo saya mudah untuk membayar apa pun tinggal mengetik di HP tidak perlu keluar rumah terimakasih BRImo,5.0,2026-05-25 15:11:48,id.co.bri.brimo,1,alhamdulilah dengan aplikasi brimo saya mudah untuk membayar apa pun tinggal mengetik di hp tidak perlu keluar rumah terimakasih brimo
ini brimo makin ribet buka harus idupin lokasi .berapa banyak habis batre setiap mau buka harus aktifkan lokasi .lancau aplikasinya ni .makin ngawur,2.0,2026-05-25 14:01:27,id.co.bri.brimo,0,ini brimo makin ribet buka harus idupin lokasi berapa banyak habis batre setiap mau buka harus aktifkan lokasi lancau aplikasinya ni makin ngawur
"Tolol banget sih nih aplikasi, verifikasi muka saja ribet",1.0,2026-05-25 12:22:19,id.co.bri.brimo,0,tolol banget sih nih aplikasi verifikasi muka saja ribet
best is the best,5.0,2026-06-09 11:00:29,id.co.bri.brimo,1,best is the best
"ini kenapa ya , sehabis update malah tidak bisa masuk ke akun brimo , coba pakai bantuan lupa akun/ sandi tetap tidak bisa masuk",2.0,2026-06-10 3:39:40,id.co.bri.brimo,0,ini kenapa ya  sehabis update malah tidak bisa masuk ke akun brimo  coba pakai bantuan lupa akun sandi tetap tidak bisa masuk
apk yang sangat bangus,5.0,2026-05-24 16:01:28,id.co.bri.brimo,1,apk yang sangat bangus
bagus tapi admin nya besar kali😅😅😅,5.0,2026-06-01 2:13:04,id.co.bri.brimo,1,bagus tapi admin nya besar kali
busuk,1.0,2026-06-04 2:23:30,id.co.bri.brimo,0,busuk
"banyak gangguan katanya koneksi internet kurang baik saya pake wifi pake internet sama aja ,kalo emang karena koneksi gak mungkin saya bisa kasih ulasan kayak gini mana biaya admin banyak lagi",2.0,2026-05-21 5:37:18,id.co.bri.brimo,0,banyak gangguan katanya koneksi internet kurang baik saya pake wifi pake internet sama aja kalo emang karena koneksi gak mungkin saya bisa kasih ulasan kayak gini mana biaya admin banyak lagi
good appp,5.0,2026-06-11 3:14:47,id.co.bri.brimo,1,good appp
"parah bener jaringan bagus kalo mau login ga bisa mulu, peringatan jaringan buruk, coba maen game aj ga lag, masa buka aplikasi mbanking aj lag gak jelas,.",1.0,2026-05-21 4:01:17,id.co.bri.brimo,0,parah bener jaringan bagus kalo mau login ga bisa mulu peringatan jaringan buruk coba maen game aj ga lag masa buka aplikasi mbanking aj lag gak jelas
Lancar dan lebih praktis,5.0,2026-06-05 6:12:16,id.co.bri.brimo,1,lancar dan lebih praktis
fast respon sukaaaa,5.0,2026-05-31 0:49:01,id.co.bri.brimo,1,fast respon sukaaaa
cepat respons,5.0,2026-06-14 15:49:00,id.co.bri.brimo,1,cepat respons
kenapa m.bangking saya gak bisa di gunakan kk,5.0,2026-05-28 4:14:05,id.co.bri.brimo,1,kenapa mbangking saya gak bisa di gunakan kk
membantu lancar urusan meskipun ada aplikasi ini uang cepat habis..,4.0,2026-06-03 12:03:27,id.co.bri.brimo,1,membantu lancar urusan meskipun ada aplikasi ini uang cepat habis
sangat membantu banget ....,5.0,2026-05-28 17:40:41,id.co.bri.brimo,1,sangat membantu banget
"Tolong di perhatikan untuk aplikasi Brimo, telah terjadi pengurangan saldo/keluarnya dana dari rekening saya sebanyak 2 kali setiap minggu secara rutin. Transaksi terjadi tanpa saya tarik sendiri, tanpa persetujuan saya, dan saya tidak mengetahui asal-usulnya. Saya tidak pernah membagikan PIN maupun kode OTP kepada siapa pun. Mohon segera ditelusuri, untuk dapat dihentikan transaksi tersebut.🙏🏻",1.0,2026-06-03 5:00:37,id.co.bri.brimo,0,tolong di perhatikan untuk aplikasi brimo telah terjadi pengurangan saldokeluarnya dana dari rekening saya sebanyak  kali setiap minggu secara rutin transaksi terjadi tanpa saya tarik sendiri tanpa persetujuan saya dan saya tidak mengetahui asalusulnya saya tidak pernah membagikan pin maupun kode otp kepada siapa pun mohon segera ditelusuri untuk dapat dihentikan transaksi tersebut
ini kenapa kalau mau login harus Aktifkan Lokasi (GPS) ?. ini Privasi !!!,1.0,2026-05-25 17:47:23,id.co.bri.brimo,0,ini kenapa kalau mau login harus aktifkan lokasi gps  ini privasi
lupa sandi GK bisa log in.gimana ni min,4.0,2026-06-04 16:22:28,id.co.bri.brimo,1,lupa sandi gk bisa log ingimana ni min
"tolong yah aplikasinya di perbaiki lagi ini saya tidak bisa masuk akun saya, aplikasi paling buruk selama dipake",1.0,2026-06-09 13:15:07,id.co.bri.brimo,0,tolong yah aplikasinya di perbaiki lagi ini saya tidak bisa masuk akun saya aplikasi paling buruk selama dipake
praktis cepat aman...,5.0,2026-06-14 4:37:12,id.co.bri.brimo,1,praktis cepat aman
aplikasi ini sangat membantu,5.0,2026-06-05 4:08:58,id.co.bri.brimo,1,aplikasi ini sangat membantu
di hp Samsung a56 apk tidak berfungsi samasekali,1.0,2026-06-05 12:49:14,id.co.bri.brimo,0,di hp samsung a apk tidak berfungsi samasekali
"masya Allah, Alhamdulillah terbantu kali saya dengan adanya bri brimo ini, tadi sy panik kali ATM hilang, untung aja adik saya bilang jangan panik, suruh dowload aplikasi bri brimo, saya dowload dan ikuti semua alhamdulillah beberapa menit langsung bisa, makasih banyak bank bri 🙏",5.0,2026-06-10 16:17:20,id.co.bri.brimo,1,masya allah alhamdulillah terbantu kali saya dengan adanya bri brimo ini tadi sy panik kali atm hilang untung aja adik saya bilang jangan panik suruh dowload aplikasi bri brimo saya dowload dan ikuti semua alhamdulillah beberapa menit langsung bisa makasih banyak bank bri
aplikasi busuk masa buka brimo aja harus aktifin lokasi,1.0,2026-05-25 15:15:15,id.co.bri.brimo,0,aplikasi busuk masa buka brimo aja harus aktifin lokasi
saya susah masuk akun brimo saya,1.0,2026-05-28 9:28:17,id.co.bri.brimo,0,saya susah masuk akun brimo saya
"cepat, dan praktis bngt pokoknya",5.0,2026-06-14 10:29:44,id.co.bri.brimo,1,cepat dan praktis bngt pokoknya
makin ribet harus aktifin lokasi GPS.,1.0,2026-06-04 5:42:55,id.co.bri.brimo,0,makin ribet harus aktifin lokasi gps
app cacat. tidak bisa login alasan verifikasi jaringan dan lain2. cacat parah,1.0,2026-06-11 2:30:46,id.co.bri.brimo,0,app cacat tidak bisa login alasan verifikasi jaringan dan lain cacat parah
"ini aplikasi nya Cemana sih,masa mau transaksi aja gabisa, padahal saldo nya ada tapi tulisannya dibuat saldo tidak cukup, maksudnya apa yaa????",1.0,2026-05-28 23:58:02,id.co.bri.brimo,0,ini aplikasi nya cemana sihmasa mau transaksi aja gabisa padahal saldo nya ada tapi tulisannya dibuat saldo tidak cukup maksudnya apa yaa
habis update harus hidupin lokasi buat akses masuknya,2.0,2026-05-25 17:15:20,id.co.bri.brimo,0,habis update harus hidupin lokasi buat akses masuknya
kenapa mendownload terus ini BRImo ?,1.0,2026-06-06 14:53:06,id.co.bri.brimo,0,kenapa mendownload terus ini brimo
Jangan persulit orang untuk daftar brimo dong. ribet bangat banyak skali yang harus di ulang-ulang perkara gk bisa ketik huruf sama angka apa lagi di pembuatan username sama pw nya ribet amat,1.0,2026-05-22 1:28:46,id.co.bri.brimo,0,jangan persulit orang untuk daftar brimo dong ribet bangat banyak skali yang harus di ulangulang perkara gk bisa ketik huruf sama angka apa lagi di pembuatan username sama pw nya ribet amat
maangpaat jadi mudah transaction nya,5.0,2026-06-09 15:46:02,id.co.bri.brimo,1,maangpaat jadi mudah transaction nya
"Pembayaran kris, dapat notif pembayaran gagal, tapi keesokannya uangnya tetap kepotong. Jir lah.",1.0,2026-05-31 7:08:11,id.co.bri.brimo,0,pembayaran kris dapat notif pembayaran gagal tapi keesokannya uangnya tetap kepotong jir lah
ka saya mau nanya daftar buat m-banking ko saya tidak bisa,1.0,2026-05-28 3:10:34,id.co.bri.brimo,0,ka saya mau nanya daftar buat mbanking ko saya tidak bisa
hebat BRI,5.0,2026-06-07 14:51:58,id.co.bri.brimo,1,hebat bri
Lemot banget gak jelas padahal jaringan bagus,1.0,2026-06-04 16:33:15,id.co.bri.brimo,0,lemot banget gak jelas padahal jaringan bagus
baru d perbaharui & ternyata skrg klo mau buka brimo musti aktifin lokasi. ya elllah ribet amat. ga guna banget. ngapain jg pihak bank musti tau kita ada dimana. tolong balikin aplikasi ke semula. sebelum saya ksh penilaian - 1,1.0,2026-05-27 2:25:50,id.co.bri.brimo,0,baru d perbaharui  ternyata skrg klo mau buka brimo musti aktifin lokasi ya elllah ribet amat ga guna banget ngapain jg pihak bank musti tau kita ada dimana tolong balikin aplikasi ke semula sebelum saya ksh penilaian
"Alhamdulillah,,sangat membantu,,,",5.0,2026-06-11 1:33:07,id.co.bri.brimo,1,alhamdulillahsangat membantu
